Episódio;Título;Descrição
S04E14;A importância dos Guias de Estilo na tradução — Roberta Jenkins;"Nesta palestra, a especialista em localização, transcriação e LQA Roberta Jenkins conversa sobre o famigerado Guia de Estilo e suas diferentes facetas: histórica, teórica e prática.
O objetivo é conhecer um pouco mais sobre esse recurso indispensável para tradutores e revisores, não importa o idioma.
Ao final, você saberá como criar um Guia de Estilo efetivo que atenda ao cliente final e às equipes de tradução e de revisão."
S04E15;Perdido ou cantando a caminho do banco? Como anda você na profissão um ano depois do mundo mudar? — Richard Laver;"Passado um ano do início de um processo de reversão inesperada de expectativas em todos os níveis, é possível observar um amplo espectro de graus de satisfação profissional entre tradutores e intérpretes.
Em uma ponta há quem esteja cantando a caminho do banco ou, melhor dizendo, abrindo o app de internet banking com um sorriso de orelha a orelha. Na outra estão aqueles que, ainda perdidos, esperam tudo voltar ao que era antes na esperança de continuar a fazer o que sempre fizeram.
Nesta palestra, Richard Laver abordará sobre este espectro e como tradutores e intérpretes estão se posicionando em um mercado que mudou muito rápido e, portanto, exigiu (e continua exigindo) que quem não quiser ficar para trás se adapte em ritmo acelerado."
S04E16;Da Paraíba para o mundo: legendagem de curtas-metragens paraibanos — Victoria Cabral;"O projeto de extensão ""Da Paraíba para o mundo: legendagem de curtas-metragens paraibanos"" é vinculado ao curso de Bacharelado em Tradução da UFPB.
Desde 2016, faz tradução e legendagem de obras fílmicas produzidas no estado da Paraíba para viabilizar a participação de cineastas locais em eventos internacionais.
Ao longo de cinco anos, traduziu e legendou 23 curtas-metragens e dois longas-metragens, sobretudo nas línguas espanhola, inglesa e francesa. Seus objetivos também incluem aprimorar técnicas de tradução e de legendagem de discentes extensionistas, além de impulsionar o diálogo multidisciplinar."
S04E17;Mentoring: A ferramenta para conseguir uma carreira em tradução — Ana Saldanha;"Muitos recém-formados e novatos querem iniciar uma carreira no mundo da tradução profissional e não sabem o que fazer.
A falta de orientação e de informação proporcionada pelas Instituições de Ensino Superior deixa estes futuros tradutores perdidos e sem perspetivas de futuro profissional.
O Mentoring é uma ferramenta que, se bem utilizada, consegue colocar os novatos a trabalhar, no entanto, não há poções mágicas e o trabalho árduo é a linha a seguir."
S04E18;As novas práticas de legendagem com o avanço do streaming — Ygor Blanco;As mudanças no processo de criação de legendas com o avanço rápido dos serviços de streaming, comparando com os padrões de legendagem da televisão - desde a forma de marcar o tempo das legendas até a censura dos palavrões.
S04E19;Traduzir Machado de Assis: causos e percalços do Bruxo além-fronteiras — Pablo Cardellino;"Machado de Assis, maior nome da literatura brasileira, percebia a importância da tradução para seu projeto literário. No entanto, seus esforços junto á casa Garnier não deram resultado, e sua viagem por outras línguas começou de forma tardia e demorada. No entanto, foi uma viagem cheia de vicissitudes e felicidades, que confirmou a percepção que o Bruxo tinha sobre a tradução.
Esta palestra tem dois propósitos: primeiro, pontuar alguns momentos marcantes e representativos da história de Machado de Assis em outras línguas, e posteriormente tentar compreender, em alguma medida, como o texto machadiano facilita e dificulta a vida dos tradutores com alguns exemplos retirados de traduções para o espanhol."
S04E20;Norma linguística e tradução - o que é traduzir para o português brasileiro? — Marcos Bagno;"O português brasileiro é uma língua que há muito tempo apresenta características gramaticais específicas que a distinguem tanto do português europeu quanto das outras línguas da família românica (espanhol, francês, italiano etc.).
O trabalho de muitos linguistas tem feito a descrição minuciosa dessas especificidades, tentando demonstrar que a norma-padrão convencional não corresponde à realidade dos usos, nem mesmo das pessoas altamente letradas e dos escritores.
Esse conflito entre a norma convencional e os usos autênticos tem reflexos na prática da tradução.
A palestra vai discutir esse conflito com base na pesquisa linguística feita no Brasil há pelo menos cinquenta anos."
S04E21;Tradução técnica – Recursos e desafios — Sónia Tavares;"Creio que o maior desafio da tradução técnica é conseguir transmitir uma mensagem complexa através de linguagem simples (Plain Language), percetível por todos os leitores, independentemente do seu nível de competência linguística.
O perfil do tradutor técnico, o mercado da tradução técnica, o tipo de documentos, as normas e certificações, entre outros, serão alguns dos temas abordados nesta sessão.
Para concluir, serão apresentados alguns recursos valiosos no âmbito da tradução técnica. No final, terei todo o prazer em trocar ideias com os colegas presentes, pois partilhar é receber em dobro!"
S04E22;Sua amiga, a tradução automática — Silvio Picinini;A palestra defenderá abertamente o uso de tecnologia para tradução. Vai também falar de algumas coisas certas e erradas que você pode esperar da Tradução Automática e sobre algumas coisas que estão aparecendo nessa área.
S04E23;Às voltas com a Babel”: profissionalizando a gestão de uma empresa — Igor Lourenço e Isabel Borges;"Como qualquer organização, uma empresa júnior pode vivenciar crises ou necessitar reestruturar seus processos de gestão para fazer frente a fatores internos e externos.
O foco desta palestra é a Babel Traduções, empresa júnior da Universidade Federal de Uberlândia. O objetivo é mostrar e discutir o recente processo de “profissionalização” da gestão dessa empresa, conferindo destaque à gestão de projetos e às reflexões sobre o uso da tecnologia e seus impactos na constituição do texto traduzido entregue ao cliente.
As discussões incitadas por este estudo de caso, aplicáveis a quaisquer empresas de tradução, destacam o papel de uma gestão qualificada."
S04E24;Gerativismo - A gramática que está escondida no nosso subconsciente — Gii Agria;"Como aprendemos uma língua? O que é uma frase gramatical? Noam Chomsky chama de Gramática Universal nossa habilidade nata de adquirir a língua materna.
Ele explica, por meio de sua teoria chamada Gramática Gerativa, que temos regras gramaticais “guardadas” no nosso subconsciente e é a partir delas que “geramos” frases na nossa língua nativa.
Nesta palestra, Gii Agria traz uma representação visual de como tais regras funcionam na nossa mente de acordo com essa teoria, que é mais recente no ramo da sintaxe, apesar da discordância de muitos linguistas."
S04E25;Tradução em Direitos Humanos: oportunidades e desafios — Mariana Almeida;"Quando falamos sobre Direitos Humanos, logo pensamos em tudo o que envolve “ser” humano e o que precisa ser garantido para que as pessoas tenham uma vida digna e satisfatória.
O direito à liberdade, à expressão, à alimentação saudável e ao meio ambiente seguro são apenas alguns dos direitos que precisam ser traduzidos para as mais diferentes línguas.
Nesta palestra, Mariana apresentará algumas oportunidades de tradução das diferentes temáticas abordadas pelos Direitos Humanos, assim como alguns dos principais desafios que os profissionais da tradução podem encontrar nesta área tão relevante e necessária nos tempos atuais."
S04E26;O Jeito que a Gente Diz: em busca da naturalidade — Stella Tagnin;"Após uma breve apresentação de sua trajetória profissional e acadêmica, Stella apresentará dois dos corpora que compõem o Projeto CoMET – Corpus Multilíngue para Ensino e Tradução.
O CorTec é um corpus comparável, composto de textos técnicos em mais de 50 áreas, originais em português e inglês; o CorTrad.é um corpus paralelo, ou seja, de traduções, com textos literários, técnico-científicos e jornalísticos também nessas duas línguas.
Também serão apresentadas suas ferramentas e possibilidades de pesquisa."
S04E27;Quem está certo? A eterna batalha entre revisão e tradução — Fabiana Zardo;"Há décadas, tradutores e revisores travam uma batalha repleta de queixas, acusações e críticas.
Será que realmente precisa ser assim? É possível ter uma boa relação entre revisores e tradutores? Qual é o papel de cada um no processo?
Vamos conversar um pouco sobre revisão, controle de qualidade e como uma equipe de profissionais alinhados pode oferecer um produto de alto nível para o cliente."
S04E28;Vivendo da tradução em Portugal — Raissa Duboc;"Você trabalha ou tem vontade de trabalhar com tradução? Pensa em trabalhar como linguista freelancer fora do país?
Nesta palestra, a legendadora e mestranda Raissa Duboc falará um pouco sobre os vários caminhos que podem nos levar ao ramo da tradução e sobre as possibilidades de morar fora do país, comentando sua experiência e sua mudança do Brasil para Portugal."
S04E29;"Como aprimorar sua carreira na tradução com o voluntariado
How to elevate your translation career via volunteering
Catherine Christaki e Karen Tkaczyk";"Profissionais de idiomas adoram aprender. Você já considerou que o voluntariado em uma associação do setor pode ser uma excelente experiência de aprendizado? E da melhor maneira possível, porque você aprende com profissionais experientes em todo o espectro de nosso setor: freelancers em todos os estágios de suas carreiras, funcionários de agências, gerentes de projetos etc. Networking, prospecção e marketing por meio de voluntariado? Legal, hein? Junte-se a nós para uma apresentação sobre os muitos benefícios de ser voluntário em associações do setor e como você pode se envolver.


Language professionals love learning. Have you ever considered that volunteering for an industry association can be an invaluable learning experience? And in the best way possible, because you get to learn from seasoned professionals in the full spectrum of our industry—freelancers at all stages of their careers, LSP employees, localization project managers in client companies. How about networking, prospecting and marketing, for free, no travel involved, through volunteering? Neat, eh? Join us for a presentation about the many benefits you get as a volunteer in four industry associations (ATA, W.L., ITI & STC), and how you can get involved."
S04E30;A legendagem na publicidade: particularidades e novas tendências — Dafne Baddini;"Cada vez mais a Tradução Audiovisual (ou TAV) vem se sub-ramificando, levando o tradutor a ter de atentar para diferentes preferências e padrões de qualidade. Na área da publicidade e do marketing, não é diferente.
Nesta palestra, vamos debater com Dafne algumas particularidades do setor e repensar a legendagem sob uma ótica multimodal, à luz das ideias de Kress e Van Leeuwen.
Também apontaremos possíveis tendências e caminhos para garantir acessibilidade de forma atraente a esse mercado."
S04E31;De intérprete infantil oficial da família a intérprete profissional! — Katia Georges Chedraoui;"Eu nasci no Líbano e fui criada no Brasil, desde pequena fui tradutora e intérprete do meu avô, pois ele não falava português e eu gostava e não me importava de ficar o dia todo traduzindo pra ele tudo absolutamente tudo, como muitos filhos de imigrantes sempre traduzimos aos parentes que não falam o português.
Pelo meu avô conheci o Líbano morando em Petrópolis, ele me contava do povo, da comida do poeta Kalil Gebram que foi amigo dele, das praias lindas e claro da beleza do Líbano e dos libaneses, mas eu precisava ver para acreditar. Aos meus 14 anos eu fui conhecer esse país que tanto me falaram dele. Eu vi, acreditei e me encantei. Me encantei pela beleza do país, pelo povo tão acolhedor e claro pelo idioma que eu já conhecia e falava fluente, mas é diferente estar ali com eles, andar nas ruas de Beirute e estudar nas escolas Libanesas.
Conheci o Líbano de norte a Sul, fui professora de poesia e ainda dei aulas como ajudante de professor na escola. Foi no Líbano que conheci que existia uma profissão que se chama Tradução, como assim? Sim, acompanhei o meu tio para uma reunião na embaixada e fui sua intérprete consecutiva profissional aos meus 14 anos.
Quer saber? Foi muito fácil. Eu acredito sim que o meu avô foi meu grande professor."
S04E32;Legendagem: Descomplicando a Sincronia no Subtitle Edit — Matheus Maggi;"Sincronia de legendas é um assunto que faz muitos legendadores torcerem o nariz, dizendo que chegam até a arrepiar, mas será que realmente é um bicho de sete cabeças?
Nesta palestra, o legendador Matheus Maggi vai provar que sincronizar é mais simples do que parece, além de mostrar várias maneiras de realizar os mesmos processos, dando a oportunidade de você escolher a forma que achar mais confortável.
O objetivo é ver você dizer que a sincronia é a parte mais tranquila de uma legenda."
S04E33;Gestão Financeira: Planejamento, administração e gestão do dinheiro — Rodrigo Anunciato;"Esse bate papo tem como objetivo, passar por noções básicas da gestão financeira do seu negócio ou sua vida pessoal.
Rodrigo criou este material exclusivamente para o mercado de tradutores, tentando passar pelas dificuldades e angústia de alguns profissionais que ele conhece."
S04E34;EULA: usando a internet a nosso favor — Fernanda Vitarelli;"Já se deparou por aí com o termo EULA?
O End-User Licence Agreement é um documento bastante conhecido pelos tradutores da área de tecnologia, mas com o crescimento do setor, todos nós deveríamos conhecê-lo.
E como todo bom documento jurídico, ele não vem sem desafios. Os desafios são: Esse documento pode ser traduzido ou deve ser escrito pelo time jurídico local? Quais os impactos de um EULA mal traduzido? Qual a melhor forma de traduzir um EULA?
Todas essas perguntas serão respondidas hoje por Fernanda Vitarelli."
S04E35;Translation and Interpreting in the USA — David Rumsey;Translation and Interpreting in the USA This session will provide an overview of the translation and interpreting industry in the United States.
S04E36;Preparação de texto, que bicho é esse? — Laura Folgueira;"Antes de chegar a ser impresso, um livro passa por inúmeras etapas e, especialmente para quem ainda não trabalha com tradução editorial ou literária e tem a intenção de entrar nesse mercado, é essencial conhecer todos os processos.
Depois de traduzido, um livro segue para uma etapa muitas vezes desconhecida, mas importantíssima: a preparação de texto ou copidesque, que só costuma existir no mercado editorial.
Esse é o assunto desta palestra, que abordará técnicas e características de uma boa preparação; escopo do trabalho de preparação; os limites da intervenção no texto do tradutor: quando mexer e quando não mexer; relação com editores. Assim, espera-se que tradutores iniciantes ou aqueles mais experientes, mas que desejam começar no mercado editorial, saiam com um bom panorama."
S04E37;Como simplificar seu inglês na tradução técnica — Rômulo Faria;"A ASD-STE100 é uma norma internacional que apresenta um conjunto de regras de escrita e um dicionário de linguagem controlada desenvolvidos para facilitar a leitura e escrita de documentos técnicos.
É uma norma obrigatória no ramo da aviação desde 1986, quando uma pesquisa revelou que 80% dos clientes não eram falantes nativos de língua inglesa. Nos dias atuais, é amplamente utilizada em outros ramos, como automotivo, médico, de software etc.
Nesta palestra, Rômulo apresentará os conceitos básicos da ASD-STE100, as principais regras, o dicionário e inúmeros exemplos práticos para o tradutor dar os primeiros passos na escrita de manuais técnicos."
S04E38;Falando de tradução para localização (apps, softwares, sites) — Samira Spolidorio;"Nesta palestra, vamos entender com Samira alguns conceitos da área de localização (como internacionalização e culturalização) e também a diferença entre localização e tradução para localização, falando especificamente quais são as principais características e os maiores desafios da tradução para localização.
Samira também contará um pouco de sua trajetória na tradução de aplicativos de celular, softwares e sites, comentando os principais tipos de projetos nos quais tem trabalhado nesses últimos cinco anos."
S04E39;Linguagem neutra: a aplicação e seus desafios — Giovana Bomentre;Os fundamentos históricos, a importância atual e as aplicações práticas da Linguagem Neutra dentro e na comunicação corporativa e na literatura, por meio de exposição teórica e exercícios em conjunto.
S04E40;Jornalismo e tradução: tão íntimos e tão estranhos — Patrícia Franco;"O objetivo da palestra de Patrícia é discutir o lugar do tradutor e das traduções nos meios de comunicação.
Por um lado, a circulação global de informações abre um mercado enorme para tradutores e, por outro lado, a necessidade de difusão quase imediata das informações e a tecnologia forçam soluções nem sempre ideais.
Onde fica o tradutor nesse mercado? Onde é possível atuar? Jornalistas podem traduzir? Tradutores devem fazer parte das equipes dos meios de comunicação? Onde as duas áreas se encontram e onde divergem?"
S04E41;Filhos e Carreira: lições e dicas de tradutores e intérpretes — Luciane Camargo;Após duas rodadas de discussões com tradutores e intérpretes – que também são mães e pais, esta palestra de Luciane tem como objetivo trazer os destaques abordados nelas, compilando aprendizados e dicas de como conciliar o trabalho na área de tradução e interpretação com a vida pessoal quando se tem filhos. Pontos muito úteis e relevantes a serem refletidos e levados em consideração para os profissionais que se dividem entre essas duas funções ou mesmo para aqueles que estão entrando neste mercado de trabalho e têm filhos ou que já estão no mercado e serão mães e pais num futuro próximo.
S04E42;"Condições que devemos exigir para a interpretação remota
Condições que devemos exigir para a interpretação remota";"A pandemia levou a maior parte do trabalho de interpretação, de presencial a remoto. A interpretação à distância deu acesso a este serviço para muitas empresas e eventos que antes não podiam pagar, e abriu o mundo para muitos intérpretes geograficamente distantes das grandes cidades de conferências. A tecnologia se esforça para melhorar este serviço e atender às necessidades dos usuários, mas os interesses dos intérpretes muitas vezes são deixados de lado. Esta apresentação se concentra nas condições que os intérpretes precisam para fazer seu trabalho e para proteger sua renda, ativos, saúde, reputação e mercado em um ambiente onde a qualidade é frequentemente negligenciada para o lucro.

The pandemic took most interpreting work from in-person to remote. Distance interpreting gave access to this service to many businesses and events that could not afford it before, and it opened the world to many interpreters geographically away from the big conference cities. Technology struggles to improve this service and meet users’ needs, but interpreters’ interests are often set aside. This presentation centers on the conditions interpreters need to do their work, and to protect their income, assets, health, reputation, and market in an environment where quality is often overlooked for profit."
S04E43;Como sua mãe já dizia: você não é todo mundo — Regiane Winarski;"Num mercado pequeno e competitivo, de que forma podemos nos destacar? A prática demonstra que são as pequenas coisas que fazem uma grande diferença.
Nessa palestra, vamos ver com Regiane Winarski algumas dessas pequenas coisas que podem ajudar a dar destaque a um tradutor de livros.
Discutirão aspectos como texto, pesquisas, contato com as editoras, como praticar para estar mais preparado para o seu primeiro teste e como apurar seu olhar para a sua própria tradução. O objetivo não é esmiuçar detalhadamente cada um desses tópicos, mas fazer uma passagem abrangente e informativa para que cada um consiga encontrar seu caminho."
S04E45;Conhecimento é poder — Natalie Gerhardt;"Conhecer o caminho que o livro percorre desde a sua contratação pela editora até chegar ao leitor pode ajudar os tradutores a ter uma melhor compreensão do impacto de cada decisão tomada pelo editor.
Nessa palestra, Natalie pretende apresentar e descrever os principais processos editoriais pelos quais o livro passa para mostrar como a qualidade do trabalho e a pontualidade da entrega impactam o cronograma.
Também abordará como costuma ser feita a seleção de profissionais autônomos que prestam serviços editoriais. Além de apresentar o relatório de tradução que criou como uma ferramenta para preservar suas escolhas, facilitar o trabalho das etapas posteriores e ajudar o editor ou editora a tomar a melhor decisão para a obra."
S04E46;Italiano e português: tão parecidos e tão diferentes — Mauro Moser;"Ah, o italiano é fácil, é bem próximo ao português, né? É, mas nem sempre! Esta palestra vai fazer com que você evite perrengues, saias justas e constrangimentos.
O prato principal serão falsos cognatos e situações comunicativas que você precisa ter em mente na hora de falar com um italiano ou traduzir do italiano. Inclusive, o que significa “prato” em italiano?
Será uma palestra descontraída, aliás, ""palestra""? Opa, mais um falso cognato. Quer saber mais sobre esse termo e muitos outros?"
S04E47;Langue x Parole: uma discussão dicotômica “nesSAUSSUREa — Lia Bittencourt;A dicotomia saussureana serve de base para uma defesa da norma da Língua Portuguesa. É preciso dominar a língua em toda sua complexidade para escrever e traduzir com confiança. A fala (parole) é individual e dinâmica, está em contínuo movimento e é o motor da língua (langue) que, por sua vez, é comum a todos, social em sua essência e independe do indivíduo. É necessária para que a fala seja inteligível, e manter o padrão é importante para também manter o maior bem de qualquer nação, sua língua. Separar é muito mais fácil que unir. Mas unir é muito mais relevante e cada vez mais necessário.
S04E48;Máquinas, política e futebol: traduzindo do alemão — Marcelo Neves;"Novos rumos na política alemã recente chamam a atenção do mundo inteiro; a pandemia faz surgir termos na língua daquele país; as redes sociais e a globalização facilitam a incorporação de cada vez mais termos em inglês à língua de Goethe. Este e outros temas estão no radar de quem faz uso profissional do idioma alemão e precisa se atualizar constantemente. Em mais de duas décadas trabalhando como tradutor dessa língua em áreas tão diversas quanto seriados de TV, futebol e indústria automobilística, o palestrante conta um pouco sobre o desafio de se manter atualizado."
S04E49;FAQ de tradutores sobre finanças e investimentos — Isabela Fontanella;“Como organizar as finanças sem salário fixo? Precisa investir todos os meses? Vale a pena fazer previdência privada?” Essas são algumas das dúvidas mais frequentes que tradutores têm sobre dinheiro. A maior parte do conteúdo produzido sobre finanças pessoais fala com assalariados e não com autônomos. Por isso, depois de atender vários tradutores em sua consultoria, Isabela compilou as dúvidas mais frequentes e responderá a todas – sem cerimônias.
S04E50;A Sétima Maravilha das Organizações Internacionais — Mônica Lange e Claudinei Nunes;Um bate-papo com o objetivo de oferecer um panorama exclusivo dos principais organismos das Nações Unidas em Genebra e do funcionamento dos serviços de interpretação nas principais organizações. Eles também discutirão a crescente importância da língua portuguesa no mercado institucional.
S04E51;Achados de uma mentoria: o que aprendemos ensinando tradução literária — As pretextas;Há tempos as Pretextas queriam montar uma turma de mentoria. As oficinas de tradução literária que conduzem desde 2018 foram aos poucos plantando a ideia de que valia a pena pensar num formato de curso para quem sente necessidade de uma atenção mais individualizada, mas sem perder a troca com o grupo, que é sempre riquíssima. Elas conseguiram conjugar esses dois elementos a partir de outubro deste ano. Agora, passados três meses e encerrada a primeira turma da mentoria, querem compartilhar alguns achados e aprendizados que tiveram nesse período, seja na troca com os 16 mentorados, seja nos debates internos, na preparação dos encontros, ou mesmo na seleção dos exercícios e dos convidados e nos feedbacks individuais.
S05E01;Erros recorrentes em revisão e técnicas para solucioná-los;Nesta palestra, falaremos sobre o trabalho do revisor de textos, os principais tipos de erros que encontramos e algumas técnicas para solucionar problemas e ampliar o domínio linguístico e gramatical na função.
S05E02;A gênese da tradução da obra The Scandals of Translation, de Lawrence Venuti — Marileide Dias Esqueda;Com a expansão da ciência e das inovações tecnológicas, os Estudos da Tradução avançam a cada dia, aglutinando diferentes pontos de vista investigativos. Os pesquisadores dos Estudos da Tradução delimitam seus tipos e objetos de estudo, distinguem as metodologias empregadas, vinculam-se a determinadas escolas teóricas, contribuindo para a consolidação científica e profissional da área. Os esforços para tais tentativas de consolidação dos Estudos da Tradução merecem ser traduzidos, compreendidos e aferidos. Diante disso, além de expor a gênese da tradução para o português brasileiro da obra The Scandals of Translation, de Lawrence Venuti, um dos pesquisadores que tem contribuído para tal consolidação científica e profissional da área, esta apresentação também tem como objetivo apresentar dados cienciométricos relacionados a outros autores igualmente produtivos dos Estudos da Tradução e que têm implementado importantes estudos sobre a formação e profissionalização de tradutores no Brasil.
S05E03;Indo além da tradução: novos caminhos e oportunidades para profissionais do texto — Luciana e Ivar;Tradutores, antes de mais nada, são profissionais especializados em trabalhar com texto. Existem outras oportunidades de trabalho que podemos aproveitar quando o mercado parece não estar muito bom? É possível diversificar a área de atuação sem perder o foco da carreira? E o mais importante: isso dá dinheiro? Luciana Galeani Boldorini e Ivar Panazzolo Junior convidam os tradutores a conhecer algumas outras áreas nas quais os profissionais do texto podem atuar para conseguir mais oportunidades e explorar novos mercados.
S05E04;Per Aspera Ad Astra: a tradução de High Frontier 4 All — Ricardo Garcia;Considerado por seus fãs como um dos jogos de tabuleiro mais complexos e realistas já criados, High Frontier é um jogo altamente temático sobre a exploração, industrialização e colonização do nosso Sistema Solar. Fundamentado sobre os mais recentes conceitos e teorias da ciência, engenharia e astrofísica, o jogo aborda os aspectos científicos, tecnológicos, econômicos e políticos da exploração espacial, tornando sua tradução uma experiência única.
S05E05;Dicas para otimizar o seu processo de revisão — Luiza Leite Ferreira;Nessa palestra, Luiza falará um pouco sobre como é a revisão do ponto de vista de uma empresa de tradução, as etapas e particularidades que envolvem esse processo e oferecer algumas dicas e recursos para tornar a revisão um processo mais simples e menos doloroso para tradutores e revisores.
S05E06;Da boca para o texto escrito — Amarilis Okida;“Travessão, verbo dicendi, vírgula antes ou depois, espaço, aspas, deixa tudo na mesma linha, abre um novo parágrafo? Isso é pensamento ou fala? Faz diferença? Ah! Falar é fácil, mas reproduzir a fala nem tanto!”. Da boca para o texto escrito vem aí para responder a essas e outras questões relacionadas à tradução de diálogos.
S05E07;A comunicação intercultural pelos olhos de uma intérprete de japonês — Anna Ligia Pozzetti;A profissão do intérprete de conferências demanda estudo constante. A cada evento a terminologia deve ser revista e memorizada em contexto, pois o preparo prévio é um dos maiores aliados para uma interpretação de qualidade. No entanto, existe um outro fator que também tem importante impacto em garantir uma comunicação fluida e correta: a cultura. Conhecer as diferenças culturais entre os países pode ajudar o intérprete e as partes interessadas a se fazerem entender, seja em uma palestra ou em uma negociação comercial. A partir do ponto de vista de uma intérprete de japonês, vamos mergulhar no universo da comunicação intercultural enquanto falamos sobre as peculiaridades que envolvem o idioma e a cultura japonesa.
S05E08;Jogo de palavras: localização de jogos de tabuleiro — Paula Pizauro;Conheça mais sobre os desafios, a comunidade gamer e o mercado da localização de jogos de tabuleiro.
S05E09;Reflexões sobre a criação de recursos visuais a partir de conteúdos textuais — Mariana Casetto;Vivemos um momento em que as trocas de informações estão cada vez mais rápidas e visuais. Dessa forma, habilidades relacionadas ao trabalho com materiais visuais podem ser desejáveis e complementar a formação dos profissionais de comunicação, como tradutores, revisores e redatores. A criação de infográficos, resumos visuais e outros recursos visuais a partir de conteúdos textuais tem se mostrado um novo nicho de atuação e é isso o que pretendemos explorar e discutir nesse encontro.
S05E10;Tradução de jogos — O mercado brasileiro — Maryanne Linz e Edmo Suassuna;Neste bate-papo, falarão sobre o universo da localização (nome que se dá à tradução nesta área) de jogos, o mercado de trabalho, as etapas do processo de localização, com foco na tradução, quais são as exigências, as competências e os conhecimentos necessários para atuar no ramo e como é o dia a dia de um profissional da área. Você vai descobrir um pouco mais da realidade e dos desafios enfrentados nesse ramo empolgante e muito promissor na tradução e vai ter a oportunidade de fazer perguntas sobre o tema.
S05E11;Closed Caption: legenda com emoção — Diego Marsicano;Transcrever o que se diz não é representar o que se mostra. Legendar para quem não ouve vai além de apresentar os diálogos falados de um filme em palavras, é ter a sensibilidade de perceber que os sons e os silêncios também geram sentido e, portanto, devem ser descritos para que possam ser entendidos por quem não ouve.
S05E12;Ficção histórica: tudo serve para alguma coisa — Monique D'Orazio;Traduzir ficção histórica pode ser um desafio, porém fica mais fácil quando parte da curiosidade e se torna um exercício visual. Veremos como encontrar uma utilidade para todo aquele seu conhecimento de almanaque aparentemente inútil, que vai dos livros às séries de TV. História e geografia aprendidas na escola, história da arte, viagens turísticas, curiosidades sobre trajes históricos, arquitetura, costumes, objetos do dia a dia: tudo isso serve para alguma coisa na tradução de ficção histórica.
S05E13;Melhores práticas de LQA: um Fail diz tudo? — Andréa Gonçalves Pinto;Quem nunca sofreu com o resultado de um LQA que atire a primeira pedra! Ninguém, não é? Nesta apresentação, Andrea falará sobre algumas melhores práticas de LQA que podem ajudar as partes envolvidas em um projeto a trabalhar de maneira mais produtiva e profissional. Além disso, abordará as categorias de mudanças que devem ou não ser marcadas como erros, como lidar com os erros reais e como reconsiderar uma decisão se a sua avaliação como LQA Reviewer não tiver sido justa. Afinal, erros acontecem. O importante é saber lidar com eles.
S05E14;Legendagem em tempo real feita por estenotipia com tradução simultânea — Giovana Lara;Atualmente quando falamos de legendagem notamos, que além das pessoas com deficiência auditiva, o público geral faz uso indispensável das legendas. De acordo com o Digday, 85% dos vídeos do Facebook são assistidos sem som, ou seja, as legendas aumentam significativamente as chances de que a mensagem seja comunicada, tornando-as imprescindíveis para o expectador. Alguns softwares e apps podem gerar legendas automáticas, mas como fazer isso ao vivo? Como a tradução simultânea pode trabalhar com estenotipia para entregar legendas de qualidade? A experiência de quase 20 anos da STN Caption vai te ajudar.
S05E15;Os desafios na tradução de Uma mulher estranha, da escritora feminista turca Leylâ Erbil — Dr. Marco Syrayama De Pinto;Nesta palestra pretendo discursar sobre as dificuldades e desafios encontrados durante a tradução da obra da escritora turca Leylâ Erbil (1931-1971).
S05E16;Contra o terraplanismo linguístico na tradução — Jorge Davidson e Rane Souza;O pensamento terraplanista está presente em diversas áreas na atualidade, e a tradução não é uma exceção. Da recusa a aceitar o valor das reflexões teóricas e as pesquisas, acadêmicas ou não, até a desvalorização de toda e qualquer formação e a recusa a refletir sobre as mudanças que acontecem na língua, esse pensamento retrógrado está firme e forte entre muitos tradutores. Nesta conversa tentarão analisar e desmontar os fundamentos dessa postura que nega as mudanças que acontecem na língua e desvaloriza qualquer tipo de formação que não seja a prática.
S05E17;Equipamentos e RSI: o que fazer, o que não fazer, quando chorar — Daniel Maciel;Nesta palestra, Daniel Maciel dará um apanhado de algumas das boas práticas, das más práticas e das concepções errôneas que se consolidaram ao longo destes duzentos e vinte e seis anos desde o início da pandemia.
S05E18;O que é e como funciona uma boutique de tradução jurídica — Bruna Marchi;Bruna Marchi, advogada e tradutora, discorrerá sobre a sua experiência como fundadora de uma boutique de tradução jurídica e contará sobre sua experiência ao longo dos anos à frente da empresa.
S05E19;Cadê o original que estava aqui? Quando uma tradutora se torna copywriter — Lara Talhaferro;Na era do acesso instantâneo a infinitas opções de produtos e serviços, saber cativar seu leitor — e possível cliente — é uma estratégia valiosíssima. Criado para motivar a realização de uma ação, o copywriting é uma técnica de escrita de textos persuasivos, que visa aumentar engajamento e vendas. Mas, e quando uma tradutora se torna copywriter? Em que aspectos a formação em Tradução auxilia nessa jornada? Quais habilidades precisam ser desenvolvidas? Nesta palestra, Lara compartilha os aprendizados que levou consigo, os que adquiriu e os que busca enquanto trilha esse novo caminho — que seus colegas tradutores também podem vir a trilhar.
